eu_share_mean,naive_mean,naive_reject_neg,fixeu_mean,fixeu_reject_neg,disjoint_mean,disjoint_reject
0.05,-0.36828620733249173,0.325,-0.009783361269027055,0.045,0.00435369468108798,0.1
0.1,-0.4457420146245877,0.725,-0.03672611883224747,0.08,-0.00128810704100112,0.09
0.2,-0.5450749648612399,0.985,-0.04213555005906157,0.105,-3.816853392674347e-4,0.125
0.3,-0.6945313676822126,1,-0.08342177328892984,0.26,-6.244005188710361e-4,0.235
0.4,-0.8898803919638917,1,-0.15772225691264233,0.49,-0.0010642417634163302,0.265
0.5,-1.1371999063649159,1,-0.263338926642089,0.805,7.913613523829505e-4,0.29
